"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"DATO:
DATI ANALITICI CORPI IDRICI FLUVIALI","","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2018","","Sostanze Perfluoroalchiliche 
– PFAS – ","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"BACINO IDROGRAFICO","CORSO D'ACQUA","CORPO IDRICO","PROVINCIA","COMUNE","COORD X","COORD Y","Codice Stazione","DATA CAMPIONAMENTO","SOSTANZA","CAS","UM","CONCENTRAZIONE"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","3/15/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","3/15/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","3/15/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","3/15/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","3/15/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","3/15/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0011"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","3/15/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","3/15/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","4/4/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","4/4/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","4/4/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","4/4/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","4/4/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","4/4/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","4/4/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","4/4/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","4/4/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","4/4/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0025"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","4/4/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","4/4/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","6/20/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","6/20/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","6/20/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","6/20/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","6/20/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","6/20/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","6/20/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","6/20/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","6/20/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","6/20/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0007"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","6/20/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","6/20/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","8/9/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","8/9/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","8/9/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","8/9/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","8/9/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","8/9/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","8/9/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","8/9/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","8/9/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","8/9/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0009"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","8/9/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","8/9/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","10/3/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","10/3/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","10/3/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","10/3/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","10/3/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","10/3/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","10/3/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","10/3/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","10/3/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","10/3/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0008"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","10/3/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","10/3/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","12/12/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","12/12/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","12/12/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","12/12/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","12/12/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","12/12/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","12/12/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","12/12/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","12/12/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","12/12/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","12/12/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000415LO","BS","Montichiari","608488","5028850","N00806000415ir1","12/12/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","3/12/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","3/12/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","3/12/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","3/12/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","3/12/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","3/12/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","3/12/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","3/12/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","3/12/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","3/12/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,001"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","3/12/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","3/12/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","4/3/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","4/3/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","4/3/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","4/3/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","4/3/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","4/3/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","4/3/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","4/3/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","4/3/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","4/3/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0013"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","4/3/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","4/3/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","6/19/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","6/19/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","6/19/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","6/19/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","6/19/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","6/19/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","6/19/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","6/19/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","6/19/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","6/19/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0007"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","6/19/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","6/19/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","8/6/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","8/6/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","8/6/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","8/6/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","8/6/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","8/6/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","8/6/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"CHIESE SUBLACUALE","Chiese (Fiume)","IT03N00806000413LO","BS","Villanova sul Clisi","612597","5050807","N00806000413ir1","8/6/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
